x,y,z,q
3963,2483,333,82
3958,2480,342,83
3941,2464,292,78
3929,2466,282,81
3940,2489,312,84
3942,2486,315,82
3924,2470,231,75
3935,2473,259,83
3937,2465,266,81
3939,2460,291,83
3940,2469,302,82
3936,2466,288,80
3926,2457,274,80
3937,2467,312,84
3937,2453,289,80
3942,2450,296,82
3957,2477,353,86
3963,2486,364,84
3957,2468,343,81
3961,2465,344,83
3960,2477,351,83
3949,2469,330,81
3952,2467,318,81
3961,2478,359,85
3941,2483,348,82
3931,2474,333,81
3943,2470,326,82
3942,2461,303,80
3944,2462,307,82
3925,2440,299,81
3933,2445,317,83
3938,2451,316,82
3927,2438,291,80
3935,2440,295,82
3944,2448,320,83
3948,2439,318,82
3942,2438,338,83
3943,2445,314,80
3944,2439,314,82
3945,2442,297,80
3936,2437,276,80
3956,2443,313,84
3954,2454,286,80
3950,2448,294,82
3953,2447,296,82
3936,2437,259,78
3946,2435,279,82
3937,2427,288,82
3927,2440,295,82
3931,2449,312,83
3925,2456,285,80
3934,2477,299,82
3943,2476,314,83
3948,2471,294,80
3939,2456,284,81
3933,2444,274,80
3935,2451,278,81
3929,2440,280,81
3926,2444,276,81
3933,2442,269,80
3944,2438,276,82
3947,2449,295,83
3951,2466,311,83
3936,2443,277,79
3951,2452,305,83
3959,2435,309,82
3956,2450,304,81
3958,2463,324,83
3934,2460,288,79
3941,2454,291,82
3947,2451,280,80
3957,2448,294,82
3964,2453,306,83
3956,2451,313,82
3939,2451,255,77
3945,2444,267,82
3956,2443,289,83
3960,2444,318,84
3943,2439,307,81
3944,2445,280,80
3952,2442,305,83
3935,2435,288,80
3945,2431,285,81
3954,2453,311,83
3954,2451,314,82
3944,2450,300,81
3951,2453,291,81
3954,2460,313,83
3939,2443,295,82
3934,2449,274,80
3930,2447,258,80
3933,2452,266,81
3932,2445,270,81
3931,2445,272,81
3927,2437,280,82
3933,2444,289,82
3944,2452,328,84
3950,2440,318,81
3955,2452,322,82
3953,2451,311,81
3939,2457,283,80
3950,2462,306,83
3954,2471,303,82
3955,2466,300,81
3951,2475,315,83
3949,2469,292,80
3943,2459,289,81
3952,2460,318,84
3958,2450,344,84
3944,2449,318,80
3940,2446,321,82
3951,2459,328,83
3953,2455,329,82
3939,2442,315,81
3941,2447,317,82
3946,2460,326,83
3938,2465,312,81
3923,2453,315,82
3923,2455,292,80
3929,2458,294,82
3931,2443,289,81
3936,2455,287,81
3937,2467,303,83
3934,2468,315,83
3945,2480,346,84
3942,2480,309,79
3942,2465,290,80
3945,2459,291,81
3947,2438,309,83
3934,2426,268,78
3930,2440,257,80
3944,2443,300,84
3959,2463,345,85
3950,2454,333,81
3947,2455,337,83
3957,2456,353,84
3958,2463,372,84
3954,2470,375,83
3959,2481,379,83
3947,2461,344,80
3939,2467,341,82
3941,2468,346,83
3940,2469,347,83
3932,2453,316,80
3929,2447,285,79
3922,2442,281,81
3933,2452,283,81
3933,2446,271,80
3933,2454,280,82
3937,2465,306,83
3929,2461,289,80
3941,2455,267,79
3939,2442,271,81
3936,2437,260,80
3938,2432,279,82
3948,2443,283,82
3943,2435,272,80
3945,2445,270,81
3955,2448,303,84
3954,2456,290,81
3951,2450,289,81
3959,2448,295,82
3958,2455,282,80
3955,2457,292,82
3956,2443,278,80
3939,2435,226,77
3935,2435,243,81
3930,2436,235,80
3930,2435,235,80
3923,2430,193,77
3927,2419,197,80
3936,2432,242,83
3915,2434,245,80
3909,2428,247,80
3919,2426,261,82
3918,2435,256,80
3929,2446,276,82
3942,2444,279,81
3919,2446,254,79
3923,2443,262,81
3930,2442,260,81
3932,2442,269,81
3934,2445,263,80
3937,2470,290,83
3942,2467,294,82
3944,2464,300,82
3936,2459,279,80
3923,2463,275,81
3921,2448,275,81
3927,2450,281,82
3938,2462,304,83
3930,2450,272,79
3935,2464,302,83
3954,2468,328,84
3942,2468,311,81
3951,2482,324,83
3955,2469,332,83
3969,2473,361,85
3964,2477,326,80
3943,2452,262,77
3938,2455,265,81
3937,2455,270,81
3938,2450,261,80
3936,2454,261,81
3942,2466,281,82
3932,2462,282,81
