x,y,z,q
6674,4880,202,55
6676,4873,204,54
6677,4886,195,54
6641,4886,237,65
6645,4886,239,56
6638,4892,242,58
6642,4895,236,56
6636,4897,250,59
6638,4897,235,55
6646,4897,226,55
6645,4902,219,57
6654,4884,215,54
6649,4889,227,58
6652,4889,227,56
6653,4889,220,55
6654,4892,226,56
6664,4900,208,53
6656,4893,218,57
6663,4913,208,55
6670,4888,205,53
6669,4896,209,56
6664,4897,214,56
6663,4887,209,54
6629,4843,130,77
6652,4846,130,51
6651,4858,157,56
6652,4864,164,54
6657,4858,185,56
6664,4867,175,53
6670,4869,180,54
6670,4871,183,54
6665,4874,197,56
6672,4878,188,53
6674,4794,233,76
6668,4815,228,55
6665,4829,219,54
6669,4852,201,53
6670,4841,199,54
6674,4855,200,55
6673,4865,188,53
6662,4883,203,57
6661,4889,204,55
6664,4887,196,54
6674,4889,189,53
6675,4890,191,54
6663,4893,213,58
6673,4887,202,53
6663,4880,208,56
6655,4877,209,55
6654,4881,207,55
6655,4878,201,54
6656,4881,209,56
6656,4887,216,56
6652,4892,215,56
6649,4886,231,58
6662,4884,208,52
6664,4872,206,54
6666,4868,204,54
6655,4877,217,57
6655,4880,218,56
6664,4884,200,53
6653,4879,214,57
6647,4880,226,57
6650,4892,221,56
6645,4886,225,56
6657,4886,211,53
6655,4891,209,55
6660,4876,211,55
6659,4862,221,56
6662,4860,208,53
6674,4863,199,53
6668,4879,210,57
6661,4871,221,56
6656,4865,224,56
6656,4878,224,56
6651,4878,234,57
6650,4876,230,55
6646,4882,225,56
6650,4883,213,54
6660,4876,205,53
6655,4879,217,57
6657,4876,212,54
6661,4888,203,54
6664,4892,197,54
6664,4884,197,54
6667,4882,201,55
6662,4888,210,57
6657,4889,217,56
6658,4885,215,55
6666,4885,199,53
6673,4886,185,52
6663,4887,201,57
6661,4885,210,56
6662,4891,208,55
6657,4899,215,57
6658,4892,226,57
6660,4892,227,56
6660,4896,222,55
6661,4889,220,55
6662,4878,216,54
6662,4877,211,54
6658,4885,203,55
6662,4886,196,54
6661,4879,198,55
6662,4868,201,54
6658,4871,204,55
6663,4873,197,54
6656,4874,217,58
6651,4890,220,57
6660,4885,221,55
6655,4884,232,57
6662,4875,213,53
6665,4876,213,55
6651,4874,227,58
6650,4879,227,56
6648,4882,222,55
6646,4882,221,56
6654,4882,220,55
6655,4884,228,57
6661,4883,220,54
6657,4877,223,56
6650,4884,222,56
6651,4880,219,55
6644,4893,217,56
6647,4888,214,55
6658,4881,206,53
6652,4880,213,56
6661,4881,217,55
6662,4882,208,54
6654,4881,221,57
6650,4887,227,57
6653,4887,221,55
6652,4891,225,56
6645,4896,239,58
6649,4892,233,55
6657,4895,214,53
6656,4884,212,55
6650,4878,223,57
6643,4881,225,57
6652,4874,212,53
6656,4880,210,55
6665,4880,194,52
6662,4866,208,56
6661,4870,212,56
6673,4881,203,53
6665,4879,210,56
6649,4880,225,58
6647,4892,224,56
6647,4902,227,57
6649,4889,227,55
6654,4897,227,56
6648,4895,225,56
6654,4895,224,55
6655,4885,214,54
6656,4890,209,55
6653,4884,216,56
6655,4875,207,54
6658,4874,210,55
6670,4887,197,53
6669,4888,203,55
6667,4884,195,54
6657,4872,217,57
6650,4879,222,57
6659,4875,208,53
6654,4876,212,56
6647,4879,222,57
6651,4875,215,54
6652,4870,208,54
6650,4877,200,54
6658,4816,217,77
6658,4838,227,57
6663,4847,219,54
6664,4851,208,54
6654,4861,218,57
6664,4870,203,53
6659,4870,222,57
6659,4883,210,54
6667,4874,209,54
6667,4867,211,55
6669,4879,205,55
6658,4883,219,57
6658,4878,217,55
6604,4876,294,70
6615,4879,282,57
6625,4889,258,55
6627,4887,259,57
6637,4889,248,55
6640,4883,244,56
6639,4888,242,57
6642,4889,232,55
6644,4886,232,56
6653,4896,218,54
6653,4891,221,56
6646,4884,231,57
6651,4889,221,55
6644,4899,230,58
6644,4893,229,56
6650,4894,220,55
6648,4884,221,55
6645,4883,234,58
6648,4877,226,55
6658,4894,213,54
6657,4894,220,56
6658,4884,222,55
6653,4886,222,56
